% generated: 2015.09.09 15:46:44

@relation "CheS-Mapper-Dataset"

@attribute "STRUCTURE_MolecularWeight_1651437192" numeric
@attribute "STRUCTURE_ChemicalType_139811304" {"defined organic","inorganic","organometallic"}
@attribute "apol_1959527413" numeric
@attribute "bpol_1752476945" numeric

@data
0.1399765925299945,"defined organic",0.1544172951200112,0.12191490556485413
0.02033583510269178,"defined organic",0.025303830484742166,0.06652581023336646
0.11256735895866829,"defined organic",0.10484818588513585,0.06864840572367167
0.045361521227810446,"defined organic",0.05256575226042723,0.0858105071545896
0.13293568491061697,"defined organic",0.14379214246752467,0.214616936640712
0.09303684392013031,"defined organic",0.09152679325267267,0.08708833924779952
0.1453681990345688,"defined organic",0.11354634535616835,0.07120406991009147
0.0985331084487533,"defined organic",0.11072677647794056,0.07544926089070196
0.06573359612390417,"defined organic",0.0948819012928488,0.12693556518345572
0.09698971500604714,"defined organic",0.12456106113276794,0.10297260858550755
0.15169711967840308,"defined organic",0.16214341579538832,0.1995774307000993
0.09544764931439231,"defined organic",0.13124863007353607,0.16949841881887398
0.23287511603177388,"defined organic",0.16697357520388045,0.08624357585070416
0.10797990097320247,"defined organic",0.1524421194192117,0.1784218694762095
0.0829516374489841,"defined organic",0.1270674592755399,0.15445891287826127
0.1971271372398633,"defined organic",0.2577677824972468,0.24778917300315723
0.18771283556467105,"defined organic",0.22969256565362234,0.20594521717101508
0.0922676855463754,"defined organic",0.0965566739480731,0.09333026012489594
0.16027626594228733,"defined organic",0.16270880705707397,0.10425044067871743
0.0710345250419706,"defined organic",0.04049989952938524,0.07019311840246657
0.07146135795348264,"defined organic",0.04658505142915676,0.06464194727629598
0.08698198671389816,"defined organic",0.032260704361596663,0.04774672643096303
0.04881297103432978,"defined organic",0.04014538629464243,0.06336411518308609
0.10198198085617294,"defined organic",0.100193672144169,0.06336411518308607
0.12032197181965548,"defined organic",0.06931884343206078,0.05490378083603038
0.04070541070268881,"defined organic",0.06950724114917699,0.10297260858550754
0.16945539947538213,"defined organic",0.08368597711899639,0.072362535736684
0.1438933019255124,"defined organic",0.17043924445242706,0.10297260858550752
0.08603451918424539,"defined organic",0.10843286731195759,0.0858105071545896
0.12040726029895488,"defined organic",0.12597084557188182,0.09333026012489594
0.08680625495709998,"defined organic",0.10151572498454388,0.07204883330718682
0.12117899607180947,"defined organic",0.11905370324446814,0.08708833924779952
0.0555139743845581,"defined organic",0.05482424659694536,0.08708833924779952
0.07742428792515858,"defined organic",0.08708063423856603,0.12141254210963537
0.11022380025000772,"defined organic",0.10292550942365779,0.06992623781688158
0.04455877856275635,"defined organic",0.038696052776135005,0.06992623781688159
